nr;code;description;augmentedDescription
359;520531;Parking fees in home city, excluding residence;"Parking fees in home city, excluding residence  Parking is the act of stopping and disengaging a vehicle and leaving it unoccupied. Parking on one or both sides of a road is often permitted, though sometimes with restrictions. Some buildings have parking facilities for use of the buildings' users. Countries and local governments have rules for design and use of parking spaces. A fee is the price one pays as remuneration for rights or services. Fees usually allow for overhead, wages, costs, and markup.

"
360;520541;Tolls or electronic toll passes;"Tolls or electronic toll passes A toll road, also known as a turnpike or tollway, is a public or private road for which a fee (or toll) is assessed for passage. It is a form of road pricing typically implemented to help recoup the cost of road construction and maintenance. Toll roads have existed in some form since antiquity, with tolls levied on passing travellers on foot, wagon or horseback  but their prominence increased with the rise of the automobile,[citation needed] and many modern tollways charge fees for motor vehicles exclusively. The amount of the toll usually varies by vehicle type, weight, or number of axles, with freight trucks often charged higher rates than cars. Tolls are often collected at toll booths, toll houses, plazas, stations, bars, or gates. Some toll collection points are unmanned and the user deposits money in a machine which opens the gate once the correct toll has been paid. To cut costs and minimise time delay many tolls today are collected by some form of automatic or electronic toll collection equipment which communicates electronically with a toll payer's transponder. Some electronic toll roads also maintain a system of toll booths so people without transponders can still pay the toll, but many newer roads now use automatic number plate recognition to charge drivers who use the road without a transponder, and some older toll roads are being upgraded with such systems.
"
361;520550;Towing charges;"Towing charges A tow truck (also called a wrecker, a breakdown truck, recovery vehicle or a breakdown lorry) is a truck used to move disabled, improperly parked, impounded, or otherwise indisposed motor vehicles. This may involve recovering a vehicle damaged in an accident, returning one to a drivable surface in a mishap or inclement weather, or towing or transporting one via flatbed to a repair shop or other location. A tow truck is distinct from a motor carrier that moves multiple new or used vehicles simultaneously in routine transport operations.A fee is the price one pays as remuneration for rights or services. Fees usually allow for overhead, wages, costs, and markup.
"
362;520901;Docking and landing fees;"Docking and landing fees A landing fee is a charge paid by an aircraft to an airport company for landing at a particular airport. Landing fees can vary greatly between airports, with congested airports, ones where most of the landing slots are held by airlines being able to charge premium prices because of supply and demand, while less congested airports charge less because the demand is not as high. The money generated by landing fees is used to pay for the maintenance or expansion of the airport's buildings, runways, aprons and taxiways.[1] Landing fees can also be used to attract more flights by keeping the fees low. Some airports, especially general aviation airports, do not charge landing fees. Landing fees may encompass additional airport provided services. Some airports will charge a single fee for landing and provide gates and check-in facilities as part of that fee. Other airports will charge a lower fee for landing but will charge airlines for the use of gates and check-in facilities. Landing fees at various airports cannot be compared because a number of factors affect the amount of the fee. For example, many airports in the United States receive subsidies from the FAA while airports in Canada do not. Canadian airports are actually ""taxed"" in the form of ground rent. A dock (from Dutch dok) is the area of water between or next to one or a group of human-made structures that are involved in the handling of boats or ships (usually on or near a shore) or such structures themselves. The exact meaning varies among different variants of the English language. ""Dock"" may also refer to a dockyard (also known as a shipyard) where the loading, unloading, building, or repairing of ships occurs.

"
363;520902;Motorcycle rental;"Motorcycle rental 
two-wheeled vehicle that is powered by a motor and has no pedals. A motorcycle often called a bike, motorbike, or cycle is a two-[1][2] or three-wheeled[3][4] motor vehicle. Motorcycle design varies greatly to suit a range of different purposes: long distance travel, commuting, cruising, sport including racing, and off-road riding. Motorcycling is riding a motorcycle and related social activity such as joining a motorcycle club and attending motorcycle rallies. In developing countries, motorcycles are overwhelmingly utilitarian due to lower prices and greater fuel economy. Of all the motorcycles in the world, 58% are in the Asia-Pacific and Southern and Eastern Asia regions, excluding car-centric Japan. Motorcycles and scooters' low fuel consumption has attracted interest in the United States from environmentalists and those affected by increased fuel prices.[65][66] Piaggio Group Americas supported this interest with the launch of a ""Vespanomics"" website and platform, claiming lower per-mile carbon emissions of 0.4 lb/mile (113 g/km) less than the average car, a 65% reduction, and better fuel economy.[67]"
364;530110;Airline fares;"Airline fares An airline is a company that provides air transport services for traveling passengers and freight. Airlines utilize aircraft to supply these services and may form partnerships or alliances with other airlines for codeshare agreements. Generally, airline companies are recognized with an air operating certificate or license issued by a governmental aviation body. Transport Public Aircraft engines emit noise pollution, gases and particulate emissions, and contribute to global dimming.[69] Growth of the industry in recent years raised a number of ecological questions. Despite continuing efficiency improvements from the major aircraft manufacturers, the expanding demand for global air travel has resulted in growing greenhouse gas (GHG) emissions. Currently, the aviation sector, including US domestic and global international travel, make approximately 1.6 percent of global anthropogenic GHG emissions per annum. North America accounts for nearly 40 percent of the world's GHG emissions from aviation fuel use.[74] A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used.CO2 emissions from the jet fuel burned per passenger on an average 3,200 kilometers (2,000 mi) airline flight is about 353 kilograms (776 pounds).[75] Loss of natural habitat potential associated with the jet fuel burned per passenger on a 3,200 kilometers (2,000 mi) airline flight is estimated to be 250 square meters (2700 square feet).[76] A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used.In the context of climate change and peak oil, there is a debate about possible taxation of air travel and the inclusion of aviation in an emissions trading scheme, with a view to ensuring that the total external costs of aviation are taken into account.[77]. A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used.
"
365;530210;Intercity bus fares;"Intercity bus fares 
An intercity bus service (North American English) or intercity coach service (British English and Commonwealth English), also called a long-distance, express, over-the-road, commercial, long-haul, or highway bus or coach service, is a public transport service using coaches to carry passengers significant distances between different cities, towns, or other populated areas. Unlike a transit bus service, which has frequent stops throughout a city or town, an intercity bus service generally has a single stop at one location in or near a city, and travels long distances without stopping at all. Intercity bus services may be operated by government agencies or private industry, for profit and not for profit.[1] Intercity coach travel can serve areas or countries with no train services, or may be set up to compete with trains by providing a more flexible or cheaper alternative. Intercity bus services are of prime importance in lightly populated rural areas that often have little or no public transportation.[2]Intercity bus services are one of four common transport methods between cities, not all of which are available in all places. The others are by airliner, train"
366;530311;Intracity mass transit fares;"Intracity mass transit fares A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used.
Public transport (also known as public transportation, public transit, or mass transit) is a shared passenger-transport service which is available for use by the general public, as distinct from modes such as taxicab, carpooling, hired buses, ride-sharing, and transportation network companies, which are not shared by the general public without private arrangement. Public transport modes include city buses, trolleybuses, trams (or light rail) and passenger trains, rapid transit (metro/subway/underground, etc.) and ferries. Public transport between cities is dominated by airlines, coaches, and intercity rail. High-speed rail networks are being developed in many parts of the world. Most public transport systems run along fixed routes with set embarkation/disembarkation points to a prearranged timetable, with the most frequent services running to a headway (e.g.: ""every 5 minutes"" as opposed to being scheduled for any specific time of the day). Share taxis offer on-demand services in many parts of the world, and some services will wait until the vehicle is full before it departs. Paratransit is sometimes used in areas of low demand
"
367;530412;Taxi fares and limousine services;"Taxi fares and limousine services A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used. A taxicab, also known as a taxi or a cab, is a type of vehicle for hire with a driver, used by a single passenger or small group of passengers, often for a non-shared ride. A taxicab conveys passengers between locations of their choice. This differs from other modes of public transport where the pick-up and drop-off locations are determined by the service provider, not by the passenger, although demand responsive transport and share taxis provide a hybrid bus/taxi mode.

"
368;530510;Intercity train fares;"Intercity train fares A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used. Public transport (also known as public transportation, public transit, or mass transit) is a shared passenger-transport service which is available for use by the general public, as distinct from modes such as taxicab, carpooling, hired buses, ride-sharing, and transportation network companies, which are not shared by the general public without private arrangement. Public transport modes include city buses, trolleybuses, trams (or light rail) and passenger trains, rapid transit (metro/subway/underground, etc.) and ferries. Public transport between cities is dominated by airlines, coaches, and intercity rail. High-speed rail networks are being developed in many parts of the world. Most public transport systems run along fixed routes with set embarkation/disembarkation points to a prearranged timetable, with the most frequent services running to a headway (e.g.: ""every 5 minutes"" as opposed to being scheduled for any specific time of the day). Share taxis offer on-demand services in many parts of the world, and some services will wait until the vehicle is full before it departs. Paratransit is sometimes used in areas of low demand Inter-city rail services are express passenger train services that cover longer distances than commuter or regional trains. There is no precise definition of inter-city rail  its meaning may vary from country to country. Most broadly, it can include any rail services that are neither short-distance commuter rail trains within one city area, nor slow regional rail trains calling at all stations and covering local journeys only. Most typically, an inter-city train is an express train with limited stops and comfortable carriages to serve long-distance travel.

"
369;530903;Car/van pool & non-motorized transportation;"Car/van pool & non-motorized transportation A fare is the fee paid by a passenger for use of a public transport system: rail, bus, taxi, etc. In the case of air transport, the term airfare is often used. Human-powered transport is the transport of person(s) and/or goods using human muscle power. Like animal-powered transport, human-powered transport has existed since time immemorial in the form of walking, running and swimming. Modern technology has allowed machines to enhance human-power.Although motorization has increased speed and load capacity, many forms of human-powered transport remain popular for reasons of lower cost, leisure, physical exercise and environmentalism. Human-powered transport is sometimes the only type available, especially in underdeveloped or inaccessible regions.
Carpooling (also car-sharing, ride-sharing and lift-sharing) is the sharing of car journeys so that more than one person travels in a car, and prevents the need for others to have to drive to a location themselves. By having more people using one vehicle, carpooling reduces each person's travel costs such as: fuel costs, tolls, and the stress of driving. Carpooling is also a more environmentally friendly and sustainable way to travel as sharing journeys reduces air pollution, carbon emissions, traffic congestion on the roads, and the need for parking spaces. Authorities often encourage carpooling, especially during periods of high pollution or high fuel prices. Car sharing is a good way to use up the full seating capacity of a car, which would otherwise remain unused if it were just the driver using the car

"
370;540000;Prescription drugs;"Prescription drugs A prescription drug (also prescription medication or prescription medicine) is a pharmaceutical drug that legally requires a medical prescription to be dispensed. In contrast, over-the-counter drugs can be obtained without a prescription. The reason for this difference in substance control is the potential scope of misuse, from drug abuse to practicing medicine without a license and without sufficient education. Different jurisdictions have different definitions of what constitutes a prescription drug. ""Rx"" (℞) is often used as a short form for prescription drug in North America- a contraction of the Latin word ""recipe"" (an imperative form of ""recipere"") meaning ""take"".[1] Prescription drugs are often dispensed together with a monograph (in Europe, a Patient Information Leaflet or PIL) that gives detailed information about the drug.
"
371;550110;Eyeglasses and contact lenses;"Eyeglasses and contact lenses A contact lens, or simply contact, is a thin lens placed directly on the surface of the eye. Contact lenses are considered medical devices and can be worn to correct vision, or for cosmetic or therapeutic reasons.[1] In 2004, it was estimated that 125 million people worldwide use contact lenses, including 28 to 38 million in the United States.[2] In 2010, the worldwide market for contact lenses was estimated at $6.1 billion, while the US soft lens market was estimated at $2.1 billion.[3] Multiple analysts estimated that the global market for contact lenses would reach $11.7 billion by 2015.[3] As of 2010, the average age of contact lens wearers globally was 31 years old, and two-thirds of wearers were female.[4] People choose to wear contact lenses for many reasons.[5] Aesthetics and cosmetics are the main motivating factors for people who want to avoid wearing glasses or to change the appearance of their eyes.[6] Others wear contact lenses for functional or optical reasons. When compared with spectacles, contact lenses typically provide better peripheral vision, and do not collect moisture (from rain, snow, condensation etc.) or perspiration. This can make them preferable for sports and other outdoor activities. Contact lens wearers can also wear sunglasses, goggles, or other eyewear of their choice without having to fit them with prescription lenses or worry about compatibility with glasses. Additionally, there are conditions such as keratoconus and aniseikonia that are typically corrected better with contact lenses than with glasses.[citation needed Glasses, also known as eyeglasses or spectacles, are devices consisting of glass or hard plastic lenses mounted in a frame that holds them in front of a person's eyes, typically using a bridge over the nose and arms which rest over the ears. Glasses are typically used for vision correction, such as with reading glasses and glasses used for nearsightedness. Safety glasses provide eye protection against flying debris for construction workers or lab technicians  these glasses may have protection for the sides of the eyes as well as in the lenses. Some types of safety glasses are used to protect against visible and near-visible light or radiation. Glasses are worn for eye protection in some sports, such as squash. Glasses wearers may use a strap to prevent the glasses from falling off during movement or sports. Wearers of glasses that are used only part of the time may have the glasses attached to a cord that goes around their neck, to prevent the loss of the glasses.
"
372;550210;Nonprescription drugs;"Nonprescription drugs Over-the-counter (OTC) drugs are medicines sold directly to a consumer without a prescription from a healthcare professional, as opposed to prescription drugs, which may only be sold to consumers possessing a valid prescription. In many countries, OTC drugs are selected by a regulatory agency to ensure that they are ingredients that are safe and effective when used without a physician's care. OTC drugs are usually regulated by active pharmaceutical ingredients (APIs), not final products. By regulating APIs instead of specific drug formulations, governments allow manufacturers freedom to formulate ingredients, or combinations of ingredients, into proprietary mixtures.[1] The term over-the-counter may be somewhat counterintuitive, since, in many countries, these drugs are often placed on shelves in self-service areas of stores, like any other packaged products. In contrast, prescription drugs are almost always passed over a counter from the pharmacist to the customer. Some drugs may be legally classified as over-the-counter (i.e. no prescription is required), but may only be dispensed by a pharmacist after an assessment of the patient's needs or the provision of patient education. In many countries, a number of OTC drugs are available in establishments without a pharmacy, such as general stores, supermarkets, and gas stations. Regulations detailing the establishments where drugs may be sold, who is authorized to dispense them, and whether a prescription is required vary considerably from country to country.
"
373;550310;Topicals and dressings;"Topicals and dressings A dressing is a sterile pad or compress[1] applied to a wound to promote healing and protect the wound from further harm. A dressing is designed to be in direct contact with the wound, as distinguished from a bandage, which is most often used to hold a dressing in place. Many modern dressings are self-adhesive.
"
374;550320;Medical equipment for general use;"Medical equipment for general use Medical equipment (also known as armamentarium[1]) is designed to aid in the diagnosis, monitoring or treatment of medical conditions. Health safety life 
"
375;550330;Supportive and convalescent medical equipment;Supportive and convalescent medical equipment Other Medical Supplies includes Topicals, Dressings, Supportive and Convalescent Medical Equipment, Rental of Medical Equipment for General Use, and Rental of Supportive and Convalescent Medical Equipment
376;550340;Hearing aids;"Hearing aids A hearing aid is a device designed to improve hearing by making sound audible to a person with hearing loss. Hearing aids are classified as medical devices in most countries, and regulated by the respective regulations. Small audio amplifiers such as PSAPs or other plain sound reinforcing systems cannot be sold as ""hearing aids"". Early devices, such as ear trumpets or ear horns,[1][2] were passive amplification cones designed to gather sound energy and direct it into the ear canal. Modern devices are computerised electroacoustic systems that transform environmental sound to make it audible, according to audiometrical and cognitive rules. Modern devices also utilize sophisticated digital signal processing to try and improve speech intelligibility and comfort for the user. Such signal processing includes feedback management, wide dynamic range compression, directionality, frequency lowering, and noise reduction.
"
377;550410;Nonprescription vitamins;"Nonprescription vitamins A nonprescription medicine-sometimes called an over-the-counter, or OTC, medicine-is any drug that you can buy without a doctor's prescription. But don't assume that all nonprescription drugs are safe for you. These drugs can interact with other medicines and can sometimes cause serious health problems. And if you take more than the normal or recommended amount, overdose may occur. A multivitamin is a preparation intended to serve as a dietary supplement - with vitamins, dietary minerals, and other nutritional elements. Such preparations are available in the form of tablets, capsules, pastilles, powders, liquids, or injectable formulations. Other than injectable formulations, which are only available and administered under medical supervision, multivitamins are recognized by the Codex Alimentarius Commission (the United Nations' authority on food standards) as a category of food.[1]
"
378;560110;Physician''s services;"Physician''s services A physician, medical practitioner, medical doctor, or simply doctor is a professional who practises medicine, which is concerned with promoting, maintaining, or restoring health through the study, diagnosis, and treatment of disease, injury, and other physical and mental impairments. Physicians may focus their practice on certain disease categories, types of patients and methods of treatment—known as specialities—or they may assume responsibility for the provision of continuing and comprehensive medical care to individuals, families, and communities—known as general practice.[3] Medical practice properly requires both a detailed knowledge of the academic disciplines (such as anatomy and physiology) underlying diseases and their treatment—the science of medicine—and also a decent competence in its applied practice—the art or craft of medicine. In economics, a service is a transaction in which no physical goods are transferred from the seller to the buyer. The benefits of such a service are held to be demonstrated by the buyer's willingness to make the exchange. Public services are those that society (nation state, fiscal union, region) as a whole pays for. Using resources, skill, ingenuity, and experience, service providers benefit service consumers.
"
379;560210;Dental services;"Dental services A physician, medical practitioner, medical doctor, or simply doctor is a professional who practises medicine, which is concerned with promoting, maintaining, or restoring health through the study, diagnosis, and treatment of disease, injury, and other physical and mental impairments. Physicians may focus their practice on certain disease categories, types of patients and methods of treatment—known as specialities—or they may assume responsibility for the provision of continuing and comprehensive medical care to individuals, families, and communities—known as general practice.[3] Medical practice properly requires both a detailed knowledge of the academic disciplines (such as anatomy and physiology) underlying diseases and their treatment—the science of medicine—and also a decent competence in its applied practice—the art or craft of medicine. In economics, a service is a transaction in which no physical goods are transferred from the seller to the buyer. The benefits of such a service are held to be demonstrated by the buyer's willingness to make the exchange. Public services are those that society (nation state, fiscal union, region) as a whole pays for. Using resources, skill, ingenuity, and experience, service providers benefit service consumers. Oral hygiene, the practice of keeping the mouth and teeth clean in order to prevent dental disorders Dentistry, the professional care of teeth, including professional oral hygiene and dental surgery Oral Surgery, any of a number of medical procedures that involve artificially modifying dentition  in other words, surgery of the teeth and jaw bones. Oral hygiene is the practice of keeping one's mouth clean and free of disease and other problems (e.g. bad breath) by regular brushing and cleaning between the teeth. It is important that oral hygiene be carried out on a regular basis to enable prevention of dental disease. The most common types of dental disease are tooth decay (cavities, dental caries) and gum diseases, including gingivitis, and periodontitis.[1] Regular brushing consists of brushing twice a day: after breakfast and before going to bed. Cleaning between the teeth is called interdental cleaning and is as important as tooth brushing.[2] This is because a toothbrush cannot reach between the teeth and therefore only cleans 50% of the surfaces. There are many tools to clean between the teeth, including floss, flossettes, and interdental brushes. It is up to each individual to choose which tool he or she prefers to use.

"
380;560310;Eyecare services;"Eyecare services A physician, medical practitioner, medical doctor, or simply doctor is a professional who practises medicine, which is concerned with promoting, maintaining, or restoring health through the study, diagnosis, and treatment of disease, injury, and other physical and mental impairments. Physicians may focus their practice on certain disease categories, types of patients and methods of treatment—known as specialities—or they may assume responsibility for the provision of continuing and comprehensive medical care to individuals, families, and communities—known as general practice.[3] Medical practice properly requires both a detailed knowledge of the academic disciplines (such as anatomy and physiology) underlying diseases and their treatment—the science of medicine—and also a decent competence in its applied practice—the art or craft of medicine. In economics, a service is a transaction in which no physical goods are transferred from the seller to the buyer. The benefits of such a service are held to be demonstrated by the buyer's willingness to make the exchange. Public services are those that society (nation state, fiscal union, region) as a whole pays for. Using resources, skill, ingenuity, and experience, service providers benefit service consumers. An eye care professional (ECP) is an individual who provides a service related to the eyes or vision. It is any healthcare worker involved in eye care, from one with a small amount of post-secondary training to practitioners with a doctoral level of education. Ophthalmology (/ˌɒfθælˈmɒlədʒi/ or /ˌɒpθælˈmɒlədʒi/)[1] is the branch of medicine that deals with the anatomy, physiology and diseases of the eyeball and orbit.[2] An ophthalmologist is a specialist in medical and surgical eye disease. Their credentials include an M.D. or D.O. degree in medicine, followed by an additional four years of residency. Additional training may be sought through a fellowship in a particular specialty of eye pathology. Ophthalmologists are allowed to medically treat eye disease, implement laser therapy, and perform incisional surgery when warranted.[3]
"
381;560330;Lab tests, x-rays;"Lab tests, x-rays Since Röntgen's discovery that X-rays can identify bone structures, X-rays have been used for medical imaging. The first medical use was less than a month after his paper on the subject.[32] Up to 2010, 5 billion medical imaging examinations had been conducted worldwide.[74] Radiation exposure from medical imaging in 2006 made up about 50% of total ionizing radiation exposure in the United States.[75] Dental radiography is commonly used in the diagnoses of common oral problems, such as cavities. In medical diagnostic applications, the low energy (soft) X-rays are unwanted, since they are totally absorbed by the body, increasing the radiation dose without contributing to the image. Hence, a thin metal sheet, often of aluminium, called an X-ray filter, is usually placed over the window of the X-ray tube, absorbing the low energy part in the spectrum. This is called hardening the beam since it shifts the center of the spectrum towards higher energy (or harder) x-rays  A medical procedure that involves testing a sample of blood, urine, or other substance from the body. Laboratory tests can help determine a diagnosis, plan treatment, check to see if treatment is working, or monitor the disease over time.

"
382;560400;Service by professionals other than physician;"Service by professionals other than physician Alternative medicine or fringe medicine consists of practices claimed to have the healing effects of medicine but which are disproven, unproven, impossible to prove, or are excessively harmful in relation to their effect  and where the scientific consensus is that the therapy does not, or cannot, work because the known laws of nature are violated by its basic claims  or where it is considered so much worse than conventional treatment that it would be unethical to offer as treatment. Alternative therapies or diagnoses are not part of medicine or science-based healthcare systems. Alternative medicine consists of a wide variety of practices, products, and therapies – ranging from those that are biologically plausiblebut not well tested, to those with known harmful and toxic effects. Contrary to popular belief, significant expense is paid to test alternative medicine, including over $2.5 billion spent by the United States government.[1] Almost none show any effect beyond that of false treatment. Perceived effects of alternative medicine may be caused by placebo  decreased effect of functional treatment 
"
383;570000;Hospital care not specified;"Hospital care not specified A hospital is a health care institution providing patient treatment with specialized medical and nursing staff and medical equipment.[1] The best-known type of hospital is the general hospital, which typically has an emergency department to treat urgent health problems ranging from fire and accident victims to a heart attack. A district hospital typically is the major health care facility in its region, with large numbers of beds for intensive care and additional beds for patients who need long-term care. Specialised hospitals include trauma centres, rehabilitation hospitals, children's hospitals, seniors' (geriatric) hospitals, and hospitals for dealing with specific medical needs such as psychiatric treatment (see psychiatric hospital) and certain disease categories. Specialised hospitals can help reduce health care costs compared to general hospitals.[2] A teaching hospital combines assistance to people with teaching to medical students and nurses. The medical facility smaller than a hospital is generally called a clinic. Hospitals have a range of departments (e.g. surgery and urgent care) and specialist units such as cardiology. Some hospitals have outpatient departments and some have chronic treatment units. Common support units include a pharmacy, pathology, and radiology.
"
384;570901;Rental of medical equipment;"Rental of medical equipment 
Medical equipment (also known as armamentarium[1]) is designed to aid in the diagnosis, monitoring or treatment of medical conditions.Renting, also known as hiring or letting, is an agreement where a payment is made for the temporary use of a good, service or property owned by another. A gross lease is when the tenant pays a flat rental amount and the pays for all charges regularly incurred by the ownership. Diagnostic equipment includes medical imaging machines, used to aid in diagnosis. Examples are ultrasound and MRI machines, PET and CT scanners, and x-ray machines. Treatment equipment includes infusion pumps, medical lasers and LASIK surgical machines. Life support equipment is used to maintain a patient's bodily function. This includes medical ventilators, incubators, anaesthetic machines, heart-lung machines, ECMO, and dialysis machines. Medical monitors allow medical staff to measure a patient's medical state. Monitors may measure patient vital signs and other parameters including ECG, EEG, and blood pressure. Medical laboratory equipment automates or helps analyze blood, urine, genes, and dissolved gases in the blood. Diagnostic Medical Equipment may also be used in the home for certain purposes, e. . for the control of diabetes mellitus
"
385;570902;Repair of medical equipment;"Repair of medical equipment Maintenance, repair and operations (MRO) involves maintaining, repairing, and replacing if necessary devices, equipment, machinery, building infrastructure, and supporting utilities in industrial, business, governmental, and residential installations.[1][2] Over time, this has come to often include both scheduled and preventive maintenance as cost-effective practices. Scheduled inspections have also come to fall under MRO purview. Medical equipment (also known as armamentarium[1]) is designed to aid in the diagnosis, monitoring or treatment of medical conditions. Diagnostic equipment includes medical imaging machines, used to aid in diagnosis. Examples are ultrasound and MRI machines, PET and CT scanners, and x-ray machines. Treatment equipment includes infusion pumps, medical lasers and LASIK surgical machines. Life support equipment is used to maintain a patient's bodily function. This includes medical ventilators, incubators, anaesthetic machines, heart-lung machines, ECMO, and dialysis machines. Medical monitors allow medical staff to measure a patient's medical state. Monitors may measure patient vital signs and other parameters including ECG, EEG, and blood pressure. Medical laboratory equipment automates or helps analyze blood, urine, genes, and dissolved gases in the blood. Diagnostic Medical Equipment may also be used in the home for certain purposes, e. . for the control of diabetes mellitus

"
386;580000;Hospital and health insurance not spec;Hospital and health insurance not spec Health insurance is insurance that covers the whole or a part of the risk of a person incurring medical expenses, spreading the risk over a large number of persons. By estimating the overall risk of health care and health system expenses over the risk pool, an insurer can develop a routine finance structure, such as a monthly premium or payroll tax, to provide the money to pay for the health care benefits specified in the insurance agreement
387;580901;Medicare payments;"Medicare payments Health insurance is insurance that covers the whole or a part of the risk of a person incurring medical expenses, spreading the risk over a large number of persons. By estimating the overall risk of health care and health system expenses over the risk pool, an insurer can develop a routine finance structure, such as a monthly premium or payroll tax, to provide the money to pay for the health care benefits specified in the insurance agreement.[1] The benefit is administered by a central organization such as a government agency, private business, or not-for-profit entity. According to the Health Insurance Association of America, health insurance is defined as ""coverage that provides for the payments of benefits as a result of sickness or injury. It includes insurance for losses from accident, medical expense, disability, or accidental death and dismemberment"" (p. 225).[2]
"
388;590110;Newspapers;"Newspapers The subscription business model is a business model where a customer must pay a subscription price to have access to a product or service. The model was pioneered magazines and newspapers, but is now used by many businesses and websites. A newspaper is a periodical publication containing written information about current events. Newspapers can cover wide variety of fields such as politics, business, sport and art and often include materials such as opinion columns, weather forecasts, reviews of local services, obituaries, birth notices, crosswords, editorial cartoons, comic strips, and advice columns. Most newspapers are businesses, and they pay their expenses with a mixture of subscription revenue, newsstand sales, and advertising revenue. The journalism organizations that publish newspapers are themselves often metonymically called newspapers. Newspapers have traditionally been published in print (usually on cheap, low-grade paper called newsprint). However, today most newspapers are also published on websites as online newspapers, and some have even abandoned their print versions entirely.
"
389;590210;Magazines;"Magazines A magazine is a publication, usually a periodical publication, which is printed or electronically published (sometimes referred to as an online magazine). Magazines are generally published on a regular schedule and contain a variety of content. They are generally financed by advertising, by a purchase price, by prepaid subscriptions, or a combination of the three. At its root, the word ""magazine"" refers to a collection or storage location. In the case of written publication, it is a collection of written articles. This explains why magazine publications share the word root with gunpowder magazines, artillery magazines, firearms magazines, and, in French, retail stores such as department stores. The subscription business model is a business model where a customer must pay a subscription price to have access to a product or service. The model was pioneered by magazines and newspapers, but is now used by many businesses and websites.
"
390;590220;Books thru book clubs;Books thru book clubs A book is a series of pages assembled for easy portability and reading, as well as the composition contained in it. The most common modern form of book is a codex volume consisting of rectangular paper pages bound on one side, with a heavier cover and spine, so that it can fan open for reading. Books have taken other forms, such as scrolls, leaves on a string, or strips tied together  and the pages have been of parchment, vellum, papyrus, bamboo slips, palm leaves, silk, wood, and other materials.[1
391;590230;Books not thru book clubs;Books not thru book clubs A book is a series of pages assembled for easy portability and reading, as well as the composition contained in it. The most common modern form of book is a codex volume consisting of rectangular paper pages bound on one side, with a heavier cover and spine, so that it can fan open for reading. Books have taken other forms, such as scrolls, leaves on a string, or strips tied together  and the pages have been of parchment, vellum, papyrus, bamboo slips, palm leaves, silk, wood, and other materials.[1
392;600120;Unpowered boats, trailers;"Unpowered boats, trailers A boat is a watercraft of a large range of sizes designed to float, plane, work or travel on water. Small boats are typically found on inland waterways (e.g. rivers and lakes) or in protected coastal areas. However, boats such as the whaleboat were designed for operation as a ship in an offshore environment. In modern naval terms, a boat is a vessel small enough to be carried aboard another vessel (a ship). An older tradition is that a ship has a weather deck fully enclosing the hull space, while a boat lacks a full weather deck  this is suggested as the reason why submarines are referred to as 'boats' rather than 'ships', as a cylindrical hull has interior decks but no weatherdeck. Another definition is a vessel that can be lifted out of the water. Some definitions do not make a distinction in size, as bulk freighters 1,000 feet (300 m) long on the Great Lakes are called oreboats. Ships are generally distinguished from boats based on their larger size, shape and cargo or passenger capacity.
"
393;600130;Powered sports vehicles;"Powered sports vehicles While a significant majority of water vessels are powered by diesel engines, with sail power and gasoline engines also popular, boats powered by electricity have been used for over 120 years. Electric boats were very popular from the 1880s[1]until the 1920s, when the internal combustion engine took dominance. Since the energy crises of the 1970s, interest in this quiet and potentially renewable marine energy source has been increasing steadily again, especially as solar cells became available, for the first time making possible motorboats with an infinite range like sailboats. The first practical solar boat was probably constructed in 1975 in England.[2] The first electric sailboat which made a round-the-world tour, including the through the Panama Canal, with only green technologies is EcoSailingProject. All the component parts of any boat have to be manufactured and will eventually have to be disposed of. Some pollution and use of other energy sources are inevitable during these stages of the boat's life and electric boats are no exception. The benefits to the global environment that are achieved by the use of electric propulsion are manifested during the working life of the boat, which can be many years. These benefits are also most directly felt in the sensitive and very beautiful environments in which such a boat is used.
"
394;600210;Athletic gear, game tables, and exercise equipment;"Athletic gear, game tables, and exercise equipment  Exercise equipment is any apparatus or device used during physical activity to enhance the strength or conditioning effects of that exercise by providing either fixed or adjustable amounts o f resistance, or to otherwise enhance the experience or outcome of an exercise routine. Exercise equipment may also include such wearable items as proper footgear, gloves, and hydration packs.
"
